name,free_returns,items_sold,status,shipping,price
Rustic Thanksgiving Fall Harvest Metal Turkey Stake Pumpkin Welcome Sign 29''H,False,,Brand New,0,2899
New ListingHappy Thanksgiving Leaves V2 Sticker Cute Fall Festive Holidays Arts Crafts Kids,False,,Brand New,0,297
New ListingHappy Thanksgiving Leaves V1 Sticker Cute Fall Festive Holidays Arts Crafts Kids,False,,Brand New,0,297
8pcs Thanksgiving Cards Happy Thanksgiving Day  NEW,True,0,Brand New,0,809
First Annual WKRP Thanksgiving Day Turkey Drop 22nd November T-Shirt,True,,Brand New,499,1499
Thanksgiving Artificial Pumpkins Home Decoration Set 50 Artificial Harvest Decor,True,,Brand New,0,1526
"48 Happy Thanksgiving!!!  ENVELOPE SEALS LABELS STICKERS 1.2"" ROUND",False,,Brand New,0,223
Silver Plated Multicolor Thanksgiving Turkey Autumn Fall Festive Dangle Earrings,False,,Brand New,395,695
Buc-ee’s Thanksgiving Shirt In Size 2XL,False,,Brand New,600,2100
D Stevens 4” x 5YD Wired Christmas Thanksgiving Ribbon Velvet celadon tiffany,False,0,Brand New,750,1995
"Mini Thanksgiving Turkey 5"" Small Honeycomb Table Centerpiece 1 ct",False,,Brand New,398,439
3  Red Thanksgiving Cactus  Plant Cuttings succulent,False,,,0,899
"Northlight 18"" Lighted Turkey Thanksgiving Window Silhouette Decor",False,,Brand New,0,2049
"Plaid Plush Pumpkin Fall Harvest Halloween Thanksgiving Home Decor - Orange 6""",True,0,Brand New,1309,687
"Be Grateful Autumn House Flag Thanksgiving Floral Fall 28"" x 40"" Briarwood Lane",True,,Brand New,0,1599
New ListingMy Thankful Tree Thanksgiving Blessing Card Give Thanks Cards 22”x25”x9” New,False,,Brand New,955,2797
VINTAGE GURLEY THANKSGIVING CANDLES,False,,Pre-Owned,2435,1500
Girl Boy Cub THANKSGIVING '21 2021 Turkey Patches Crests Badges SCOUT GUIDE,False,,Brand New,400,100
Fall Porch  Sign Autumn Thanksgiving Outdoor Decorations Fall Door Banner Hang,False,0,Brand New,0,1606
Hallmark Thanksgiving Cards. 8 cards and 8 envelopes. Sealed,True,,Brand New,0,845
